Faculty ID(Primary Key),Univ ID(Foregin Key),College ID(Foreign Key),Full Name,Aadhaar No,Father's Name,Mother's Maiden Name,Date of Birth,Gender,Maritial Status,Nationality,Correspondence Address,Permanent Address,Mobile No,Telephone No.,Department,Designation,Date of Joining,Area of Specialisation,Appointment Type,PAN No,Bank Name,Bank_Branch,Account No.,IFSC ,MICR
F-00001,U-0003,C-39320,,9999995847,,,,,Married,INDIAN,,,88882232,,Cse,Dr,,,,P-4362,Sbi,,,,123456789
F-00002,U-0003,C-39320,,9999995848,,,,,Married,INDIAN,,,88882233,,IT,Dr,,,,P-4363,Pnb,,,,123456790
F-00003,U-0003,C-39320,,9999995849,,,,,Married,INDIAN,,,88882234,,IT,Dr,,,,P-4364,Hdfc,,,,123456791
F-00004,U-0003,C-39320,,9999995850,,,,,Married,INDIAN,,,88882235,,CSE,MS,,,,P-4365,Sbi,,,,123456792
F-00005,U-0003,C-39320,,9999995851,,,,,Un-Married,INDIAN,,,88882236,,ECE,MS,,,,P-4366,Uni,,,,123456793
F-00006,U-0003,C-39320,,9999995852,,,,,Married,INDIAN,,,88882237,,Cse,Dr,,,,P-4367,Axis,,,,123456794
F-00007,U-0003,C-39320,,9999995853,,,,,Married,INDIAN,,,88882238,,IT,Bsc,,,,P-4368,Icici,,,,123456795
F-00008,U-0003,C-39320,,9999995854,,,,,Married,INDIAN,,,88882239,,Ece,MS,,,,P-4369,Sbi,,,,123456796
F-00009,U-0003,C-39320,,9999995855,,,,,Married,INDIAN,,,88882240,,Ece,Dr,,,,P-4370,Sbi,,,,123456797
F-00010,U-0003,C-39320,,9999995856,,,,,Un-Married,INDIAN,,,88882241,,ME,MS,,,,P-4371,Pnb,,,,123456798
F-00011,U-0003,C-39320,,9999995857,,,,,Un-Married,INDIAN,,,88882242,,CE,Dr,,,,P-4372,Canara,,,,123456799
F-00012,U-0003,C-39320,,9999995858,,,,,Married,INDIAN,,,88882243,,ME,Phd,,,,P-4373,Sbi,,,,123456800
F-00013,U-0003,C-39320,,9999995859,,,,,Married,INDIAN,,,88882244,,CE,Phd,,,,P-4374,Sbi,,,,123456801
F-00014,U-0003,C-39320,,9999995860,,,,,Un-Married,INDIAN,,,88882245,,Cse,MS,,,,P-4375,Canara,,,,123456802
F-00015,U-0003,C-39320,,9999995861,,,,,Married,INDIAN,,,88882246,,Cse,Dr,,,,P-4376,Sbi,,,,123456803
F-00016,U-0003,C-39320,,9999995862,,,,,Un-Married,INDIAN,,,88882247,,IT,Dr,,,,P-4377,Hdfc,,,,123456804
F-00017,U-0003,C-39450,,9999995863,,,,,Un-Married,INDIAN,,,88882248,,Ece,Dr,,,,P-4378,Sbi,,,,123456805
F-00018,U-0003,C-39450,,9999995864,,,,,Married,INDIAN,,,88882249,,Ece,MS,,,,P-4379,Axis,,,,123456806
F-00019,U-0003,C-39450,,9999995865,,,,,Married,INDIAN,,,88882250,,Cse,MS,,,,P-4380,icici,,,,123456807
F-00020,U-0003,C-39450,,9999995866,,,,,Married,INDIAN,,,88882251,,Cse,Dr,,,,P-4381,Uni,,,,123456808
F-00021,U-0003,C-39450,,9999995867,,,,,Married,INDIAN,,,88882252,,Me,Bsc,,,,P-4382,Boi,,,,123456809
F-00022,U-0003,C-39450,,9999995868,,,,,Married,INDIAN,,,88882253,,Ce,MS,,,,P-4383,Sbi ,,,,123456810
F-00023,U-0003,C-39450,,9999995869,,,,,Married,INDIAN,,,88882254,,IT,Dr,,,,P-4384,Pnb,,,,123456811
F-00024,U-0003,C-39450,,9999995870,,,,,Married,INDIAN,,,88882255,,Cse,MS,,,,P-4385,Sbi,,,,123456812
F-00025,U-0003,C-39450,,9999995871,,,,,Married,INDIAN,,,88882256,,IT,Dr,,,,P-4386,Pnb,,,,123456813
F-00026,U-0003,C-39450,,9999995872,,,,,Married,INDIAN,,,88882257,,IT,Phd,,,,P-4387,Hdfc,,,,123456814
F-00027,U-0003,C-39450,,9999995873,,,,,Un-Married,INDIAN,,,88882258,,CSE,Phd,,,,P-4388,Sbi,,,,123456815
F-00028,U-0003,C-39450,,9999995874,,,,,Married,INDIAN,,,88882259,,ECE,MS,,,,P-4389,Uni,,,,123456816
F-00029,U-0003,C-39450,,9999995875,,,,,Married,INDIAN,,,88882260,,Cse,Dr,,,,P-4390,Axis,,,,123456817
F-00030,U-0003,C-39450,,9999995876,,,,,Married,INDIAN,,,88882261,,IT,Dr,,,,P-4391,Icici,,,,123456818
F-00031,U-0003,C-39450,,9999995877,,,,,Married,INDIAN,,,88882262,,Ece,Dr,,,,P-4392,Sbi,,,,123456819
F-00032,U-0003,C-39450,,9999995878,,,,,Un-Married,INDIAN,,,88882263,,Ece,MS,,,,P-4393,Sbi,,,,123456820
F-00033,U-0003,C-39450,,9999995879,,,,,Un-Married,INDIAN,,,88882264,,ME,MS,,,,P-4394,Pnb,,,,123456821
F-00034,U-0003,C-39450,,9999995880,,,,,Married,INDIAN,,,88882265,,CE,Dr,,,,P-4395,Canara,,,,123456822
F-00035,U-0003,C-39450,,9999995881,,,,,Married,INDIAN,,,88882266,,ME,Bsc,,,,P-4396,Sbi,,,,123456823
F-00036,U-0003,C-39450,,9999995882,,,,,Un-Married,INDIAN,,,88882267,,CE,MS,,,,P-4397,Sbi,,,,123456824
F-00037,U-0003,C-39450,,9999995883,,,,,Married,INDIAN,,,88882268,,Cse,Dr,,,,P-4398,Canara,,,,123456825
F-00038,U-0003,C-39450,,9999995884,,,,,Un-Married,INDIAN,,,88882269,,Cse,MS,,,,P-4399,Sbi,,,,123456826
F-00039,U-0003,C-39450,,9999995885,,,,,Un-Married,INDIAN,,,88882270,,IT,Dr,,,,P-4400,Hdfc,,,,123456827
F-00040,U-0003,C-39450,,9999995886,,,,,Married,INDIAN,,,88882271,,Ece,Dr,,,,P-4401,Sbi,,,,123456828
F-00041,U-0003,C-39450,,9999995887,,,,,Married,INDIAN,,,88882272,,Ece,Dr,,,,P-4402,Axis,,,,123456829
F-00042,U-0003,C-39450,,9999995888,,,,,Married,INDIAN,,,88882273,,Cse,MS,,,,P-4403,icici,,,,123456830
F-00043,U-0003,C-39450,,9999995889,,,,,Married,INDIAN,,,88882274,,Cse,MS,,,,P-4404,Uni,,,,123456831
F-00044,U-0003,C-39450,,9999995890,,,,,Married,INDIAN,,,88882275,,Me,Dr,,,,P-4405,Boi,,,,123456832
F-00045,U-0003,C-39450,,9999995891,,,,,Married,INDIAN,,,88882276,,Ce,Bsc,,,,P-4406,Sbi ,,,,123456833
