Faculty ID(Primary Key),Univ ID(Foregin Key),College ID(Foreign Key),Full Name,Email,Login ID ,Password,Is Aadhaar Verified?,Are Bank Details Verified?,Is PAN Verified?
F-00001,U-0003,C-39320,,,F-00001,password,Yes,Yes,Yes
F-00002,U-0003,C-39320,,,F-00002,password,Yes,Yes,Yes
F-00003,U-0003,C-39320,,,F-00003,password,Yes,Yes,Yes
F-00004,U-0003,C-39320,,,F-00004,password,No,No,No
F-00005,U-0003,C-39320,,,F-00005,password,Yes,Yes,Yes
F-00006,U-0003,C-39320,,,F-00006,password,No,No,No
F-00007,U-0003,C-39320,,,F-00007,password,Yes,Yes,Yes
F-00008,U-0003,C-39320,,,F-00008,password,Yes,Yes,Yes
F-00009,U-0003,C-39320,,,F-00009,password,No,No,No
F-00010,U-0003,C-39320,,,F-00010,password,No,No,No
F-00011,U-0003,C-39320,,,F-00011,password,Yes,Yes,Yes
F-00012,U-0003,C-39320,,,F-00012,password,No,No,No
F-00013,U-0003,C-39320,,,F-00013,password,Yes,Yes,Yes
F-00014,U-0003,C-39320,,,F-00014,password,No,No,No
F-00015,U-0003,C-39320,,,F-00015,password,Yes,Yes,Yes
F-00016,U-0003,C-39320,,,F-00016,password,Yes,Yes,Yes
F-00017,U-0003,C-39450,,,F-00017,password,Yes,Yes,Yes
F-00018,U-0003,C-39450,,,F-00018,password,No,No,No
F-00019,U-0003,C-39450,,,F-00019,password,Yes,Yes,Yes
F-00020,U-0003,C-39450,,,F-00020,password,Yes,Yes,Yes
F-00021,U-0003,C-39450,,,F-00021,password,Yes,Yes,Yes
F-00022,U-0003,C-39450,,,F-00022,password,No,No,No
F-00023,U-0003,C-39450,,,F-00023,password,Yes,Yes,Yes
F-00024,U-0003,C-39450,,,F-00024,password,No,No,No
F-00025,U-0003,C-39450,,,F-00025,password,Yes,Yes,Yes
F-00026,U-0003,C-39450,,,F-00026,password,Yes,Yes,Yes
F-00027,U-0003,C-39450,,,F-00027,password,No,No,No
F-00028,U-0003,C-39450,,,F-00028,password,No,No,No
F-00029,U-0003,C-39450,,,F-00029,password,Yes,Yes,Yes
F-00030,U-0003,C-39450,,,F-00030,password,No,No,No
F-00031,U-0003,C-39450,,,F-00031,password,Yes,Yes,Yes
F-00032,U-0003,C-39450,,,F-00032,password,No,No,No
F-00033,U-0003,C-39450,,,F-00033,password,Yes,Yes,Yes
F-00034,U-0003,C-39450,,,F-00034,password,Yes,Yes,Yes
F-00035,U-0003,C-39450,,,F-00035,password,Yes,Yes,Yes
F-00036,U-0003,C-39450,,,F-00036,password,No,No,No
F-00037,U-0003,C-39450,,,F-00037,password,Yes,Yes,Yes
F-00038,U-0003,C-39450,,,F-00038,password,Yes,Yes,Yes
F-00039,U-0003,C-39450,,,F-00039,password,Yes,Yes,Yes
F-00040,U-0003,C-39450,,,F-00040,password,No,No,No
F-00041,U-0003,C-39450,,,F-00041,password,Yes,Yes,Yes
F-00042,U-0003,C-39450,,,F-00042,password,No,No,No
F-00043,U-0003,C-39450,,,F-00043,password,Yes,Yes,Yes
F-00044,U-0003,C-39450,,,F-00044,password,Yes,Yes,Yes
F-00045,U-0003,C-39450,,,F-00045,password,No,No,No
F-00046,U-0003,C-39450,,,F-00046,password,No,No,No
F-00047,U-0003,C-39450,,,F-00047,password,Yes,Yes,Yes
F-00048,U-0003,C-39450,,,F-00048,password,No,No,No
F-00049,U-0003,C-32630,,,F-00049,password,Yes,Yes,Yes
F-00050,U-0003,C-32630,,,F-00050,password,No,No,No
F-00051,U-0003,C-32630,,,F-00051,password,Yes,Yes,Yes
F-00052,U-0003,C-32630,,,F-00052,password,Yes,Yes,Yes
F-00053,U-0003,C-32630,,,F-00053,password,Yes,Yes,Yes
F-00054,U-0003,C-32630,,,F-00054,password,No,No,No
F-00055,U-0003,C-32630,,,F-00055,password,Yes,Yes,Yes
F-00056,U-0003,C-32630,,,F-00056,password,Yes,Yes,Yes
F-00057,U-0003,C-32630,,,F-00057,password,Yes,Yes,Yes
F-00058,U-0003,C-32630,,,F-00058,password,No,No,No
F-00059,U-0003,C-32630,,,F-00059,password,Yes,Yes,Yes
F-00060,U-0003,C-32630,,,F-00060,password,No,No,No
F-00061,U-0003,C-32630,,,F-00061,password,Yes,Yes,Yes
F-00062,U-0003,C-32630,,,F-00062,password,Yes,Yes,Yes
F-00063,U-0003,C-32630,,,F-00063,password,No,No,No
F-00064,U-0003,C-32630,,,F-00064,password,No,No,No
F-00065,U-0003,C-32630,,,F-00065,password,Yes,Yes,Yes
F-00066,U-0003,C-32630,,,F-00066,password,No,No,No
F-00067,U-0003,C-32630,,,F-00067,password,Yes,Yes,Yes
F-00068,U-0003,C-32630,,,F-00068,password,No,No,No
F-00069,U-0003,C-32630,,,F-00069,password,Yes,Yes,Yes
F-00070,U-0003,C-32630,,,F-00070,password,Yes,Yes,Yes
F-00071,U-0003,C-32630,,,F-00071,password,Yes,Yes,Yes
F-00072,U-0003,C-32630,,,F-00072,password,No,No,No
F-00073,U-0003,C-32630,,,F-00073,password,Yes,Yes,Yes
F-00074,U-0003,C-32630,,,F-00074,password,Yes,Yes,Yes
F-00075,U-0003,C-32630,,,F-00075,password,Yes,Yes,Yes
F-00076,U-0003,C-32630,,,F-00076,password,No,No,No
F-00077,U-0003,C-32630,,,F-00077,password,Yes,Yes,Yes
F-00078,U-0003,C-32630,,,F-00078,password,No,No,No
F-00079,U-0003,C-32630,,,F-00079,password,Yes,Yes,Yes
F-00080,U-0003,C-32630,,,F-00080,password,Yes,Yes,Yes
F-00081,U-0003,C-32630,,,F-00081,password,No,No,No
F-00082,U-0003,C-32630,,,F-00082,password,No,No,No
F-00083,U-0003,C-32630,,,F-00083,password,Yes,Yes,Yes
F-00084,U-0003,C-32630,,,F-00084,password,No,No,No
F-00085,U-0003,C-32630,,,F-00085,password,Yes,Yes,Yes
F-00086,U-0003,C-32630,,,F-00086,password,No,No,No
F-00087,U-0003,C-32630,,,F-00087,password,Yes,Yes,Yes
F-00088,U-0003,C-32630,,,F-00088,password,Yes,Yes,Yes
F-00089,U-0003,C-32630,,,F-00089,password,Yes,Yes,Yes
F-00090,U-0003,C-32630,,,F-00090,password,No,No,No
F-00091,U-0003,C-32630,,,F-00091,password,Yes,Yes,Yes
F-00092,U-0003,C-32630,,,F-00092,password,Yes,Yes,Yes
F-00093,U-0003,C-32630,,,F-00093,password,Yes,Yes,Yes
F-00094,U-0003,C-32630,,,F-00094,password,No,No,No
F-00095,U-0003,C-32630,,,F-00095,password,Yes,Yes,Yes
