Aadhar No,Full Name,Date Of Birth,Gender,Address,Fathers Name
9999990000,Barry French,01-May-07,M,3108 OCCIDENTAL DR,Harrison
9999990001,Muhammed MacIntyre,01-Oct-06,M,2082 EXPEDITION WAY,Addison
9999990002,Clay Rozendal,01-Jan-08,F,4 PALEN CT,Castor
9999990003,Carlos Soltero,01-Jan-08,M,22 BECKFORD CT,Lucius
9999990004,Carlos Soltero,01-Feb-08,M,3421 AUBURN BLVD,Zachary
9999990005,Carl Jackson,01-Oct-07,M,5301 BONNIEMAE WAY,Malik
9999990006,Carl Jackson,01-Jan-08,M,2217 16TH AVE,Merrill
9999990007,Monica Federle,01-Oct-06,F,3547 P ST,Theodore
9999990008,Dorothy Badders,25-Jan-08,F,3421 AUBURN BLVD,Jakeem
9999990009,Neola Schneider,01-Dec-06,F,1326 HELMSMAN WAY,Zeus
9999990010,Neola Schneider,01-Oct-05,F,2315 STOCKTON BLVD,Tarik
9999990011,Carlos Daly,01-Sep-04,M,5112 63RD ST,Reece
9999990012,Carlos Daly,01-May-05,M,6351 DRIFTWOOD ST,Quentin
9999990013,Claudia Miner,01-Apr-06,F,7721 COLLEGE TOWN DR,Timon
9999990014,Neola Schneider,01-Oct-07,F,8460 ROVANA CIR,Howard
9999990015,Allen Rosenblatt,01-Mar-08,M,4856 11TH AVE,Blake
9999990016,Sylvia Foulston,15-Jan-08,F,6033 69TH ST,Elton
9999990017,Sylvia Foulston,01-May-08,F,547 L ST,Sylvester
9999990018,Jim Radford,01-May-06,M,3525 42ND ST,Zeph
9999990019,Jim Radford,01-Mar-05,M,5641 DORSET WAY,Cain
9999990020,Carlos Soltero,01-Dec-06,M,5551 REXLEIGH CT,Geoffrey
9999990021,Carlos Soltero,01-Jan-07,M,1896 ARDEN WAY,Malachi
9999990022,Carl Ludwig,01-Mar-07,M,6168 RIVERSIDE BLVD,Jermaine
9999990023,Carl Ludwig,01-Jul-07,M,415 SEXTANT WAY,Hedley
9999990024,Don Miller,01-May-08,M,15 BASIN CT,Dylan
9999990025,Annie Cyprus,01-Dec-05,F,3340 62ND ST,Hamish
9999990026,Carl Ludwig,01-May-07,M,4280 DEER HILL DR,Harlan
9999990027,Carlos Soltero,16-Mar-08,M,2814 5TH ST,Xenos
9999990028,Grant Carroll,01-Jun-06,M,1816 FLORIN RD,Abraham
9999990029,Don Miller,01-Jan-07,M,1260 BELL AVE,Ferdinand
9999990030,Don Miller,01-Jun-07,M,7676 BRIDGEVIEW DR,Dorian
9999990031,Alan Barnes,01-Jun-07,M,3816 CYPRESS ST,Alec
9999990032,Alan Barnes,01-Jun-07,M,1211 23RD ST,John
9999990033,Jack Garza,01-May-07,M,7001 EAST PKWY,Kamal
9999990034,Julia West,01-Nov-02,F,918 LAKE FRONT DR,Hayden
9999990035,Eugene Barchas,01-Jul-03,M,4851 KOKOMO DR,Dante
9999990036,Eugene Barchas,01-Apr-04,M,2377 OAK HARBOUR DR,Addison
9999990037,Eugene Barchas,01-Feb-07,M,1823 P ST,Marvin
9999990038,Edward Hooks,01-Jun-07,M,1100 14TH ST,Duncan
9999990039,Brad Eason,01-Jun-06,M,3301 ARENA BLVD,Slade
9999990040,Nicole Hansen,01-Sep-04,M,1088 PREGO WAY,Herman
9999990041,Dorothy Wardle,13-Jun-08,F,3259 SPINNING ROD WAY,Isaiah
9999990042,Aaron Bergman,10-May-07,M,1010 J ST,Galvin
9999990043,Jim Radford,01-Jan-06,M,400 BANNON ST,Dieter
9999990044,Annie Cyprus,01-Jan-07,F,6115 63RD ST,Jacob
9999990045,Annie Cyprus,01-Jul-07,F,47 FIRE LEAF CT,Ishmael
9999990046,Annie Cyprus,01-Dec-07,F,5140 61ST ST,Jarrod
9999990047,Annie Cyprus,10-Mar-08,F,1814 19TH ST,Omar
9999990048,Annie Cyprus,01-Apr-06,F,6940 27TH ST,Upton
9999990049,Clay Rozendal,01-Aug-07,F,3820 65TH ST,Clinton
9999990050,Don Jones,01-Jul-05,M,2829 FLORIN RD,Levi
9999990051,Beth Thompson,03-Jun-08,F,1080 APPOLLO WAY,Carson
9999990052,Frank Price,01-Oct-06,M,6571 WEATHERFORD WAY,Vernon
9999990053,Michelle Lonsdale,01-Dec-05,M,930 43RD AVE,Gannon
9999990054,Ann Chong,01-Apr-06,M,2830 E ST,Baker
9999990055,Ann Chong,01-Oct-05,M,NORTHGATE BLVD / W SILVER EAGLE RD,Eaton
9999990056,Joy Bell,01-Jan-08,M,6665 STOCKTON BLVD,Wayne
9999990057,Joy Bell,01-Jul-07,M,7811 DEER MEADOW DR,Jeremy
9999990058,Skye Norling,01-Apr-08,M,3RD ST / O ST,Brock
9999990059,Barry Weirich,01-Aug-04,M,27TH ST / J ST,Kennan
9999990060,Grant Carroll,01-Jan-05,M,8TH ST / L ST,Dennis
9999990061,Grant Carroll,01-Feb-07,M,7850 COLLEGE TOWN DR,Garth
9999990062,Adrian Hane,01-Jun-07,M,63RD ST / JANSEN DR,Neil
9999990063,Skye Norling,01-Jul-06,M,11 ALCANON CT,Lewis
9999990064,Skye Norling,01-Oct-07,M,TRUXEL RD / SAGINAW CIR,Aristotle
9999990065,Andrew Gjertsen,01-Jun-07,M,2600 N ST,Tyrone
9999990066,Ralph Knight,01-Apr-05,M,4740 BECKET WAY,Vladimir
9999990067,Dorothy Wardle,01-Feb-06,M,CALVINE RD / CENTER PKWY,Christopher
9999990068,Dorothy Wardle,01-Jun-99,M,6625 VALLEY HI DR,Tobias
9999990069,Dorothy Wardle,01-May-07,M,RAINBOW AVE / HOWE AVE,Walter
9999990070,Grant Carroll,01-Mar-06,M,2500 FLORIN RD,William
9999990071,Barry Weirich,01-Apr-06,M,3012 ALBATROSS WAY,Vincent
9999990072,Beth Paige,01-Nov-05,M,1426 BREWERTON DR,Denton
9999990073,Sylvia Foulston,01-Apr-06,M,FRONT ST / K ST,Kevin
9999990074,Nicole Hansen,01-Dec-07,M,3807 24TH AVE,Chandler
9999990075,Nicole Hansen,10-Apr-08,M,EMPRESS ST / ARDEN WAY,Gregory
9999990076,Nicole Hansen,01-Feb-06,M,1415 L ST,Donovan
9999990077,Beth Paige,01-Jul-07,M,2737 SCREECH OWL WAY,Rahim
9999990078,Beth Paige,01-Nov-06,M,1900 CANTERBURY RD,Barry
9999990079,Beth Paige,01-Sep-06,M,7769 AMHERST ST,Bevis
9999990080,Beth Paige,01-Jun-07,M,100 ROCKMONT CIR,Colt
9999990081,Beth Paige,01-Jun-06,M,8032 TORRENTE WAY,Quamar
