Student ID(Primary Key),Univ ID(Foregin Key),College ID(Foreign Key),Name,Aadhaar No,Fathers Name,Mother's Maiden Name,Date of Birth,Gender,Maritial Status,Nationality,Correspondence Address,Permanent Address,Mobile No,Telephone No.,Course,Branch,Start Date,Expected End Date,Year,PAN No,Bank Name,Bank_Branch,Account No.,IFSC ,MICR
S-00001,U-0003,C-39320,Aaron,9999990001,Harrison,Rhonda,,M,Unmarried,Indian,3108 OCCIDENTAL DR,Same as Previous,12342323,,Btech,Cse,,,,P-1234,Sbi,,,,231342332
S-00002,U-0003,C-39320,Aaron,9999990002,Addison,Oprah,,M,Unmarried,Indian,2082 EXPEDITION WAY,Same as Previous,12342324,,Btech,IT,,,,P-1235,Pnb,,,,231342333
S-00003,U-0003,C-39320,Abbey,9999990003,Castor,Rana,,M,Unmarried,Indian,4 PALEN CT,Same as Previous,12342325,,Btech,IT,,,,P-1236,Hdfc,,,,231342334
S-00004,U-0003,C-39320,Abbie,9999990004,Lucius,Anjolie,,M,Unmarried,Indian,22 BECKFORD CT,Same as Previous,12342326,,Btech,CSE,,,,P-1237,Sbi,,,,231342335
S-00005,U-0003,C-39320,Abby,9999990005,Zachary,Lila,,M,Unmarried,Indian,3421 AUBURN BLVD,Same as Previous,12342327,,Btech,ECE,,,,P-1238,Uni,,,,231342336
S-00006,U-0003,C-39320,Abdul,9999990006,Malik,Emma,,M,Unmarried,Indian,5301 BONNIEMAE WAY,Same as Previous,12342328,,Btech,Cse,,,,P-1239,Axis,,,,231342337
S-00007,U-0003,C-39320,Abe,9999990007,Merrill,Hadassah,,M,Unmarried,Indian,2217 16TH AVE,Same as Previous,12342329,,Btech,IT,,,,P-1240,Icici,,,,231342338
S-00008,U-0003,C-39320,Abel,9999990008,Theodore,Brynne,,M,Unmarried,Indian,3547 P ST,Same as Previous,12342330,,Btech,Ece,,,,P-1241,Sbi,,,,231342339
S-00009,U-0003,C-39320,Abigail,9999990009,Jakeem,Kyra,,M,Unmarried,Indian,3421 AUBURN BLVD,Same as Previous,12342331,,Btech,Ece,,,,P-1242,Sbi,,,,231342340
S-00010,U-0003,C-39320,Abraham,9999990010,Zeus,Rachel,,M,Unmarried,Indian,1326 HELMSMAN WAY,Same as Previous,12342332,,Btech,ME,,,,P-1243,Pnb,,,,231342341
S-00011,U-0003,C-39320,Abram,9999990011,Tarik,Hadley,,M,Unmarried,Indian,2315 STOCKTON BLVD,Same as Previous,12342333,,Btech,CE,,,,P-1244,Canara,,,,231342342
S-00012,U-0003,C-39320,Ada,9999990012,Reece,Shaeleigh,,M,Unmarried,Indian,5112 63RD ST,Same as Previous,12342334,,Btech,ME,,,,P-1245,Sbi,,,,231342343
S-00013,U-0003,C-39320,Adah,9999990013,Quentin,Lois,,M,Unmarried,Indian,6351 DRIFTWOOD ST,Same as Previous,12342335,,Btech,CE,,,,P-1246,Sbi,,,,231342344
S-00014,U-0003,C-39320,Adalberto,9999990014,Timon,Shea,,M,Unmarried,Indian,7721 COLLEGE TOWN DR,Same as Previous,12342336,,Btech,Cse,,,,P-1247,Canara,,,,231342345
S-00015,U-0003,C-39320,Adaline,9999990015,Howard,Aurelia,,M,Unmarried,Indian,8460 ROVANA CIR,Same as Previous,12342337,,Btech,Cse,,,,P-1248,Sbi,,,,231342346
S-00016,U-0003,C-39320,Adam,9999990016,Blake,Whilemina,,M,Unmarried,Indian,4856 11TH AVE,Same as Previous,12342338,,Btech,IT,,,,P-1249,Hdfc,,,,231342347
S-00017,U-0003,C-39450,Adam,9999990017,Elton,Shafira,,M,Unmarried,Indian,6033 69TH ST,Same as Previous,12342339,,Btech,Ece,,,,P-1250,Sbi,,,,231342348
S-00018,U-0003,C-39450,Adan,9999990018,Sylvester,Minerva,,M,Unmarried,Indian,547 L ST,Same as Previous,12342340,,Btech,Ece,,,,P-1251,Axis,,,,231342349
S-00019,U-0003,C-39450,Addie,9999990019,Zeph,Stacey,,M,Unmarried,Indian,3525 42ND ST,Same as Previous,12342341,,Btech,Cse,,,,P-1252,icici,,,,231342350
S-00020,U-0003,C-39450,Adela,9999990020,Cain,Hilda,,M,Unmarried,Indian,5641 DORSET WAY,Same as Previous,12342342,,Btech,Cse,,,,P-1253,Uni,,,,231342351
S-00021,U-0003,C-39450,Adelaida,9999990021,Geoffrey,Regina,,M,Unmarried,Indian,5551 REXLEIGH CT,Same as Previous,12342343,,Btech,Me,,,,P-1254,Boi,,,,231342352
S-00022,U-0003,C-39450,Adelaide,9999990022,Malachi,Hadley,,M,Unmarried,Indian,1896 ARDEN WAY,Same as Previous,12342344,,Btech,Ce,,,,P-1255,Sbi ,,,,231342353
S-00023,U-0003,C-39450,Adele,9999990023,Jermaine,Maisie,,M,Unmarried,Indian,6168 RIVERSIDE BLVD,Same as Previous,12342345,,Btech,IT,,,,P-1256,Pnb,,,,231342354
S-00024,U-0003,C-39450,Adelia,9999990024,Hedley,Maia,,M,Unmarried,Indian,415 SEXTANT WAY,Same as Previous,12342346,,Btech,Cse,,,,P-1257,Sbi,,,,231342355
S-00025,U-0003,C-39450,Adelina,9999990025,Dylan,Athena,,M,Unmarried,Indian,15 BASIN CT,Same as Previous,12342347,,Btech,IT,,,,P-1258,Pnb,,,,231342356
S-00026,U-0003,C-39450,Adeline,9999990026,Hamish,Calista,,M,Unmarried,Indian,3340 62ND ST,Same as Previous,12342348,,Btech,IT,,,,P-1259,Hdfc,,,,231342357
S-00027,U-0003,C-39450,Adell,9999990027,Harlan,Shay,,M,Unmarried,Indian,4280 DEER HILL DR,Same as Previous,12342349,,Btech,CSE,,,,P-1260,Sbi,,,,231342358
S-00028,U-0003,C-39450,Adella,9999990028,Xenos,Casey,,M,Unmarried,Indian,2814 5TH ST,Same as Previous,12342350,,Btech,ECE,,,,P-1261,Uni,,,,231342359
S-00029,U-0003,C-39450,Adelle,9999990029,Abraham,Clare,,M,Unmarried,Indian,1816 FLORIN RD,Same as Previous,12342351,,Btech,Cse,,,,P-1262,Axis,,,,231342360
