Student ID(Primary Key),Univ ID(Foregin Key),College ID(Foreign Key),Name,Email,Login ID ,Password,Is Aadhaar Verified?,Are Bank Details Verified?,Is PAN Verified?
S-00001,U-0003,C-39320,Aaron,tellus.eu.augue@Fuscemollis.edu,S-00001,pass123,Yes,Yes,No
S-00002,U-0003,C-39320,Aaron,Vivamus@utsem.com,S-00002,pass124,Yes,Yes,No
S-00003,U-0003,C-39320,Abbey,metus@Nuncpulvinar.net,S-00003,pass125,No,Yes,Yes
S-00004,U-0003,C-39320,Abbie,nibh@sociis.net,S-00004,pass126,Yes,Yes,Yes
S-00005,U-0003,C-39320,Abby,quam.elementum@malesuadamalesuadaInteger.net,S-00005,pass127,No,No,Yes
S-00006,U-0003,C-39320,Abdul,libero.Integer@magnis.com,S-00006,pass128,Yes,No,Yes
S-00007,U-0003,C-39320,Abe,Donec.elementum.lorem@Nullatinciduntneque.co.uk,S-00007,pass129,No,No,Yes
S-00008,U-0003,C-39320,Abel,eu.dolor@auctornon.com,S-00008,pass130,Yes ,Yes,No
S-00009,U-0003,C-39320,Abigail,Phasellus@maurisid.net,S-00009,pass131,Yes,Yes,Yes
S-00010,U-0003,C-39320,Abraham,ornare.Fusce@diamvel.org,S-00010,pass132,Yes,No ,Yes
S-00011,U-0003,C-39320,Abram,Integer@Integersem.ca,S-00011,pass133,Yes,Yes,No
S-00012,U-0003,C-39320,Ada,elit.pharetra@euduiCum.co.uk,S-00012,pass134,No,No,No
S-00013,U-0003,C-39320,Adah,a.feugiat@turpisAliquamadipiscing.edu,S-00013,pass135,No,No,No
S-00014,U-0003,C-39320,Adalberto,elit.a@nonluctussit.com,S-00014,pass136,No,No,Yes
S-00015,U-0003,C-39320,Adaline,ipsum@sed.co.uk,S-00015,pass137,Ye,Yes,Yes
S-00016,U-0003,C-39320,Adam,non.bibendum.sed@eunequepellentesque.ca,S-00016,pass138,Yes,Yes,Yes
S-00017,U-0003,C-39450,Adam,quam.dignissim.pharetra@Nullam.org,S-00017,pass139,Yes,No,No
S-00018,U-0003,C-39450,Adan,magna.Praesent.interdum@enimnectempus.co.uk,S-00018,pass140,Yes,No,Yes
S-00019,U-0003,C-39450,Addie,mi.lorem.vehicula@lobortisquam.ca,S-00019,pass141,No,Yes,No
S-00020,U-0003,C-39450,Adela,et.magnis.dis@lectusNullam.com,S-00020,pass142,Yes,Yes,No
S-00021,U-0003,C-39450,Adelaida,ac.sem.ut@nonummyFusce.org,S-00021,pass143,No,Yes,Yes
S-00022,U-0003,C-39450,Adelaide,aliquam.eu@disparturient.net,S-00022,pass144,Yes,Yes,Yes
S-00023,U-0003,C-39450,Adele,enim.Mauris@Suspendissealiquetmolestie.co.uk,S-00023,pass145,Yes,Yes,Yes
S-00024,U-0003,C-39450,Adelia,dapibus.quam.quis@risusvarius.ca,S-00024,pass146,No,Yes,No
S-00025,U-0003,C-39450,Adelina,mauris.a.nunc@atiaculisquis.net,S-00025,pass147,Yes,Yes,No
S-00026,U-0003,C-39450,Adeline,Phasellus.in@feugiatmetussit.com,S-00026,pass148,No,Yes,Yes
S-00027,U-0003,C-39450,Adell,non@duiCumsociis.edu,S-00027,pass149,Yes,Yes,Yes
S-00028,U-0003,C-39450,Adella,in.consequat@bibendumfermentum.com,S-00028,pass150,No,No,Yes
S-00029,U-0003,C-39450,Adelle,gravida.sit@Nuncmauriselit.org,S-00029,pass151,Yes ,No,Yes
S-00030,U-0003,C-39450,Adena,Sed.neque.Sed@ametornarelectus.edu,S-00030,pass152,Yes,No,Yes
S-00031,U-0003,C-39450,Adina,et.magnis@tellusNunclectus.com,S-00031,pass153,Yes,Yes,No
S-00032,U-0003,C-39450,Adolfo,at@aliquet.edu,S-00032,pass154,Yes,Yes,Yes
S-00033,U-0003,C-39450,Adolph,In.scelerisque.scelerisque@et.com,S-00033,pass155,No,No ,Yes
S-00034,U-0003,C-39450,Adria,eget.lacus.Mauris@eget.edu,S-00034,pass156,No,Yes,No
S-00035,U-0003,C-39450,Adrian,lacus.Cras.interdum@nec.org,S-00035,pass157,No,No,No
